cell_id,element,value,source_doc,source_section,quote,local_file,date_pulled,extracted_by,verified_by,status
1.1,Net total return series,"Printed monthly NAV-per-share series for all four classes (S/T/D/I), Jan 2025 - Dec 2025 (12 points) in FY2025 10-K Item 5; Class I path: 21.64 (Jan) -> 21.48 -> 21.14 -> 20.97 -> 20.92 -> 20.92 -> 20.82 -> 20.59 -> 20.42 -> 20.26 -> 20.16 -> 19.96 (Dec 31, 2025). No pre-2025 monthly NAV table is printed in the on-disk 10-K (the FY2024-vs-FY2023 results discussion is incorporated by reference to an 8-K/A). Updates: Class I NAV $19.52 at 2026-06-30 (10-Q NAV Per Share table); Class I $19.41 as of July 31, 2026 via the September 1, 2026 transaction-price table (424B3 Supplement No. 7 dated 2026-08-14). NAV path only - distributions/total returns in 1.2/1.4. Monthly declared distributions per share printed alongside (Class I $0.1035 every month of 2025) support monthly total-return construction for 2025.",Form 10-K FY2025 (filed 2026-03-20) Item 5; Form 10-Q Q2-2026 (filed 2026-08-12); 424B3 Supplement No. 7 (dated 2026-08-14),"Item 5 - Market for Registrant's Common Equity (monthly NAV table); 10-Q MD&A NAV Per Share table; 424B3 September 1, 2026 Transaction Price","The following table presents our monthly NAV per share for each of the four classes of shares for the year ended December 31, 2025",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_sreit_10_K_2026_03_20_ck0001711929_20251231.txt,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.2,Trailing & calendar-year returns,"FY2025 10-K '2025 Highlights' table, classes in order T | S | D | I: Annualized Year-to-Date Total Return, without upfront selling commissions and dealer manager fees: (3.3%) | (3.2%) | (2.7%) | (2.4%); Annualized Inception-to-Date Total Return, without upfront: 4.7% | 4.7% | 5.0% | 5.4%; Annualized ITD assuming full upfront selling commissions and dealer manager fees: 4.2% | 4.1% | 4.8% | N/A; Average Annualized Distribution Rate: 5.2% | 5.2% | 6.0% | 6.2%. PRIMARY CLASS + BASIS: Class I (no upfront load, no servicing fee), FY2025 total return (2.4%), ITD 5.4% annualized. Q2-2026 10-Q update (T|S|D|I): Annualized YTD 0.1% | 0.1% | 0.7% | 0.9%; ITD without upfront 4.4% | 4.3% | 4.7% | 5.1%; Average Annualized Distribution Rate 3.9% | 3.8% | 4.5% | 4.7%. NOTE: no standardized 1/3/5-year table, no per-calendar-year return series, and no total-return definition footnote is printed with the highlights table in the 10-K.",Form 10-K FY2025 (filed 2026-03-20) MD&A '2025 Highlights'; Form 10-Q Q2-2026 (filed 2026-08-12) MD&A '2026 Highlights',MD&A - 2025 Highlights / 2026 Highlights (distribution rate and total return tables),"Annualized Year-to-Date Total Return, without upfront selling commissions and dealer manager fees | (3.3%) | (3.2%) | (2.7%) | (2.4%)",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_sreit_10_K_2026_03_20_ck0001711929_20251231.txt,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.3,Gross vs net spread,PARTIAL: no gross-of-fees return series and no gross/net expense ratios exist - '34-Act non-traded REIT with no financial-highlights table; mechanical search of the stripped FY2025 10-K and Q2-2026 10-Q for 'expense ratio' returns zero hits in both. What IS disclosed is a live fee-waiver spread: commencing May 2024 the Advisor waives 20% of its management fee (1.25% of NAV -> 1% of NAV) until the share repurchase plan is reinstated to the 2%-monthly/5%-quarterly limits; management fees incurred net $87.6M FY2025. Also printed: ratio of cost of raising equity capital to gross equity capital raised approximately 0.8% for FY2025 (Item 5).,Form 10-K FY2025 (filed 2026-03-20),Item 5 - Unregistered Sales of Equity Securities (management fee and waiver); Note 12 Related Party Transactions,"to waive 20% of its management fee, thereby reducing it from 1.25% of NAV to 1% of NAV, until our share repurchase plan has been reinstated",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_sreit_10_K_2026_03_20_ck0001711929_20251231.txt,2026-08-14,Claude Code (2026-08-14),,partial
1.4,Distribution history & composition,"FY2025: declared monthly net distributions totaling $484.8 million ($484,759K); per-share declared totals T $1.0632 | S $1.0627 | D $1.1903 | I $1.2420 (Class I $0.1035 every month of 2025). Composition FY2025: 72% payable in cash / 28% reinvested in shares (DRIP). Sources of distributions FY2025: 71% cash flows from operating activities, 9% cash flows from investing activities (interest-rate derivative cash flows), 20% offering proceeds (DRIP shares); FY2024 and FY2023 each 100% from operating cash flows; inception-to-date through 2024 100% operating cash flows. FY2024 total $494.3M, FY2023 $557.5M. CUT: in April 2026 the monthly distribution was REDUCED (10-Q: 'reduced our monthly distribution to better align the distribution rate with the portfolio's current income'); Q2-2026 declared $86.4M, average annualized distribution rate Class I 4.7% vs 6.2% for FY2025. Tax character (ROC vs ordinary income %) is NOT printed in the on-disk filings.",Form 10-K FY2025 (filed 2026-03-20) MD&A Distributions; Form 10-Q Q2-2026 (filed 2026-08-12) Recent Developments and 2026 Highlights,MD&A - Distributions (monthly per-share table; distributions declared and Sources of Distributions tables),"Declared monthly net distributions totaling $484.8 million for the year ended December 31, 2025",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_sreit_10_K_2026_03_20_ck0001711929_20251231.txt,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.5,Underlying sleeve/GP performance,"PARTIAL: direct-ownership REIT - no underlying third-party GP funds, so no underlying-fund IRR table exists. Nearest printed sleeve-level performance is Note 15 Segment Reporting, FY2025 Segment net operating income ($000s): Multifamily 639,308 | Industrial 114,921 | Office 105,285 | Other Properties 31,261 | Investments in Real Estate Debt 74,709 | Total 965,484. Segment total assets 12/31/25: Multifamily $12,993,713K of $18,917,862K total. CODM (the CEO) evaluates performance on segment NOI. No 'Same Property NOI' disclosure exists (zero hits in the 10-K). Effective 1/1/2025 Single-Family Rental and Self-Storage segments were folded into Other.",Form 10-K FY2025 (filed 2026-03-20),Note 15 - Segment Reporting,The Company believes that segment net operating income is the key performance metric that captures the unique operating characteristics of each segment,/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_sreit_10_K_2026_03_20_ck0001711929_20251231.txt,2026-08-14,Claude Code (2026-08-14),,partial
1.6,Volatility & max drawdown,Public return cadence for this wrapper is ANNUAL; vol/autocorr/de-smoothing need monthly-or-finer series. Fact sheets sit behind attestation gates (not free-public). (vol/drawdown not computable at annual granularity.) Quarterly NAV path on disk is NAV-only and short.,disclosure-cadence assessment vs data/series_annual/sreit.csv,granularity rationale,,,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: sub-annual return series not free-public for this wrapper
1.7,De-smoothed volatility,Public return cadence for this wrapper is ANNUAL; vol/autocorr/de-smoothing need monthly-or-finer series. Fact sheets sit behind attestation gates (not free-public). (de-smoothed vol not computable at annual granularity.) Quarterly NAV path on disk is NAV-only and short.,disclosure-cadence assessment vs data/series_annual/sreit.csv,granularity rationale,,,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: sub-annual return series not free-public for this wrapper
1.8,Risk-adjusted metrics (PME etc),KS-PME 0.9453 / Direct Alpha -5.47%/yr vs Listed REIT investable proxy (VNQ) over 2024-12-31 to 2025-12-31. Window-sensitivity disclosure applies; explorable in the Analysis Lab.,data/benchmarks/sreit_selection.json,primary.comparison,,data/benchmarks/sreit_selection.json,2026-08-14,Claude Code (2026-08-14),,computed
1.9,Stress-window performance,Stress observations (computed from printed FY returns): worst disclosed FY 2025-12-31: -2.4%.,data/analytics/supplement.json (stress_windows.sreit),stress_windows,,data/series_annual/sreit.csv,2026-08-14,Claude Code (2026-08-14),,computed
1.10,Market price & premium/discount,"Non-listed perpetual NAV REIT: no exchange listing, no ticker, no market price, so no premium/discount exists. Purchase price = transaction price generally equal to prior month's NAV per share plus applicable upfront fees. Holders of record as of March 15, 2026: 1,026 Class T / 30,299 Class S / 1,453 Class D / 16,892 Class I.",Form 10-K FY2025 (filed 2026-03-20),Item 5 - Market Information,Shares of our common stock are not listed for trading on a stock exchange or other securities market,/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_sreit_10_K_2026_03_20_ck0001711929_20251231.txt,2026-08-14,Claude Code (2026-08-14),,n/a - not exchange-listed
