cell_id,element,value,source_doc,source_section,quote,local_file,accession,date_pulled,extracted_by,verified_by,status
1.1,Net total return series,"Daily NAV series exists (NAV determined daily). NAV per share at 12/31/2025: Class A $24.85, C $24.73, I $25.09, L $24.92, U $24.99, U-2 $24.96, W $25.11. Prior Class I year-end NAVs: $25.36 (2024), $25.23 (2023), $24.12 (2022), $26.01 (2021). Interim point 5/29/2026 (N-23C3A): A $24.01, C $23.91, I $24.23, L $24.07, U $24.15, U-2 $24.12, W $24.26. FY2025 NAV total return (Class I) +7.55%. Full daily return series not printed in the filings; annual points only.","N-CSR filed 2026-03-06 (FYE 2025-12-31) and N-23C3A filed 2026-06-05, CIK 1678124",Consolidated Statement of Assets and Liabilities; Financial Highlights (Class I); N-23C3A item 2 (Net Asset Value),"The Fund's NAV on May 29, 2026, of the Class A shares (CADEX) was $24.01 per share, of the Class C shares (CADCX) was $23.91 per share, of the Class I shares (CADUX) was $24.23 per share",,"multiple (2), data/citations/cion_ares.json",2026-08-25,Claude Code (2026-08-25),,partial
1.2,Trailing & calendar-year returns,"Calendar-year total returns at NAV, Class I, excluding expense support: 2025 +7.55%, 2024 +10.17%, 2023 +13.79%, 2022 (1.62)%, 2021 +8.90%, 2020 +3.55% (incl. expense support +3.12%), two-month period ended 12/31/2019 +2.88%, FY Oct-2019 +4.78%, FY Oct-2018 (2.19)% (incl. support +7.91%), inception-to-Oct-2017 (2.49)% (incl. support +2.95%). A trailing/average-annual-return table appears in the annual report only as a graph image ('CADC Performance Since Inception'); trailing 1/5/SI averages are not present in the filings' text.","N-CSR filed 2026-03-06, CIK 1678124",Financial Highlights — Class I; Performance Summary,"Total return, excluding expense support(b) 7.55 % 10.17 % 13.79 % (1.62 )% 8.90 %",,0001104659-26-024607,2026-08-25,Claude Code (2026-08-25),,partial
1.3,Gross vs net spread,Gross-of-fee return series is not published. Documented gross-vs-net markers: portfolio current yield 9.19% 'calculated without the deduction of fees and expenses' vs distribution rate 8.48% (Class I) and NII ratio 8.05% of average net assets; Class I expense ratio 6.90% including interest expense / 3.76% excluding interest expense (FY2025). Total returns are reported both excluding and including expense support (identical at 7.55% for 2025).,"N-CSR filed 2026-03-06, CIK 1678124",Letter to Shareholders footnote 13; Financial Highlights — Class I,CADC's current yield is calculated without the deduction of fees and expenses and does not represent a return to investors.,,0001104659-26-024607,2026-08-25,Claude Code (2026-08-25),,partial
1.4,Distribution history & composition,"Distributions declared daily from net investment income, paid or reinvested monthly. FY2025 total distributions $393,470K (FY2024 $340,902K); Class I $2.13/share (2024 $2.33, 2023 $2.09, 2022 $1.48, 2021 $1.39). Tax characterization FY2025: ordinary income $444,368K, capital gain $0, return of capital $0 (FY2024: ordinary $371,885K, ROC $0). Month-end distribution rate at 12/31/2025: A 8.17%, C 7.34%, I 8.48%, L 8.02%, U 7.71%, U-2 7.71%, W 8.00%. Caveat disclosed: distributions may be funded from offering proceeds/borrowings and previously from Adviser expense support (subject to 3-year recoupment); no expense support was provided in FY2025.","N-CSR filed 2026-03-06, CIK 1678124",Note 10 Income Taxes (characterization table); Note 2 Distributions to Common Shareholders; Fund Fact Sheet,"The characterization of distributions paid during the fiscal years ended December 31, 2025 and 2024 were as follows: ... Ordinary income 444,368 ... Capital gain — ... Return of capital —",,0001104659-26-024607,2026-08-25,Claude Code (2026-08-25),,extracted-unverified
1.5,Underlying sleeve/GP performance,"No per-sleeve return breakdown is published. Sleeve composition only: 81% of the portfolio deployed in investments directly originated by Ares platform groups (U.S. Direct Lending, European Direct Lending, Alternative Credit, Real Estate Debt, Opportunistic); 90% secured debt instruments; 977 total issues across 24 industries; non-accrual rate below 2% of cost.","N-CSR filed 2026-03-06, CIK 1678124",Letter to Shareholders; Fund Fact Sheet — Key Facts,"81%3 of the Fund's portfolio was deployed in investments directly originated by investment groups across the Ares Management Corporation (""Ares"") platform.",,0001104659-26-024607,2026-08-25,Claude Code (2026-08-25),,partial
1.6,Volatility & max drawdown,"Since-inception standard deviation of non-loaded daily NAV total returns, by class: A 3.59%, C 3.55%, I 3.62%, L 3.64%, U 3.94%, U-2 2.89%, W 3.83%. Max drawdown is not reported. Note these are NAV-based (appraisal-smoothed for the ~79% Level 3 book), not transaction-price volatility.","N-CSR filed 2026-03-06, CIK 1678124","Fund Fact Sheet — Key Facts, footnote 3",Standard deviation shows how much variation from the mean exists ... Figures shown here are based on non-loaded daily NAV total returns utilizing data since inception.,,0001104659-26-024607,2026-08-25,Claude Code (2026-08-25),,partial
1.7,De-smoothed volatility,"Geltner de-smoothed ann vol 6.57% vs raw 6.07% (lag-1 rho 0.075) on monthly points of the daily Class I NAV (CADUX, 2017-07-31 to 2026-08-24). Mild lag-1 smoothing signature.",data/series/cadux.csv (monthly resample),tark_analytics.desmooth_geltner,,,,2026-08-25,Claude Code (2026-08-25),,computed
1.8,Risk-adjusted metrics (PME etc),"Primary Senior loan investable proxy (BKLN, for Morningstar LSTA class): KS-PME 1.1374 and Direct Alpha +1.62%/yr over 2018-07-18 to 2026-07-17 (series comparison, clipped: proxy series begins 2018-07-18, proxy series ends 2026-07-17), fund growth 1.6029x vs proxy growth 1.4092x on two-point flows (one contribution at the window start, one valuation at the end), fund return source: Yahoo adjusted close, approximates NAV total return. The fund led the public proxy over this window. Secondary Peer composite, private credit cohort without CION Ares Diversified Credit Fund (members: Blackstone Private Credit Fund, Cliffwater Corporate Lending Fund, Blue Owl Credit Income Corp., PIMCO Flexible Credit Income Fund): relative wealth ratio 0.9461 over FY2021 to FY2025 (5 overlapping fiscal year(s) of 5 composite years), fund growth 1.4445x / peer composite growth 1.5267x on two-point flows, annualized excess return -1.1%/yr, fund return source: filed fiscal-year returns. Not a public market equivalent: the peer composite is appraisal-based, constructed by the evaluator and cannot be bought. Alignment: aligned by fiscal year-end year. Members' fiscal years end in month 03 (cliffwater_cclfx), 06 (pflex), 12 (bcred, ocic), the fund's in month 12. ILLUSTRATIVE monthly-schedule KS-PME 1.0508 vs Senior loan investable proxy (BKLN, for Morningstar LSTA class) (97 equal contributions), the two-point figure is primary. Window-sensitive: every figure on appraisal-lagged NAVs moves with the window (methodology section 3).",benchmark selection artifact (CION Ares Diversified Credit Fund),primary and secondary comparisons,,,,2026-09-04,Tark computed-cells writer (as-of 2026-09-04),,computed
1.9,Stress-window performance,Stress windows from reported calendar returns (Class I): 2020 COVID year +3.12% including expense support (+3.55% excluding); 2022 rate shock (1.62)%; April 2025 tariff episode described qualitatively as 'a short (and sharp) drawdown' with swift recovery. Intra-period drawdown depths not quantified.,"N-CSR filed 2026-03-06, CIK 1678124",Financial Highlights — Class I; Letter to Shareholders (Investment Environment),"Despite a short (and sharp) drawdown on the back of the announcement, markets recovered swiftly due to positive trade developments and resilient hard economic data",,0001104659-26-024607,2026-08-25,Claude Code (2026-08-25),,partial
1.10,Market price & premium/discount,"No market price series exists: no exchange listing in SEC submissions (an OTC quotation, if any, is not an exchange listing). Premium/discount is structurally n/a for this wrapper.",SEC submissions JSON + company_tickers.json,exchanges[],exchanges=[],,,2026-08-25,"census pipeline (structured filing data, 2026-08-25)",,n/a - documented-unavailable (structured: unlisted)
