cell_id,element,value,source_doc,source_section,quote,local_file,date_pulled,extracted_by,verified_by,status
1.1,Net total return series,"PARTIAL: Class I (primary; inception 4/1/2022) NAV/share at fiscal year-end (March 31): FY2023 $26.93 / FY2024 $30.57 / FY2025 $36.12 / FY2026 $39.03, from $25.00 at commencement. Class D (from 9/1/2022): 26.87 / 30.45 / 35.85 / 38.61; Class A (from 8/1/2023): 30.34 / 35.53 / 38.05. One later month-end point: 4/30/2026 NAV/share A $39.16, D $39.79, I $40.19 (SC TO-I). NAV is struck monthly (monthly Determination Dates) but no public monthly series is printed in filings; fund fact sheets on areswmsresources.com not fetched (extraction 2026-08-15). Annual series in annual_series payload.","N-CSR (FY2026 annual report, FYE 3/31/2026), filed 2026-06-04 (raw: data/raw/ares_pmf/N-CSR_2026-06-04_tm2616630d1_ncsr.htm); 4/30/2026 point per SC TO-I filed 2026-06-01","Consolidated Financial Highlights - Class I / Class D / Class A (NET ASSET VALUE, END OF PERIOD rows); SC TO-I Item 2(b)","NET ASSET VALUE, END OF PERIOD ... $ | 39.03",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_ares_pmf_N_CSR_2026_06_04_tm2616630d1_ncsr.txt,2026-08-14,Claude Code (2026-08-14),,partial
1.2,Trailing & calendar-year returns,"Class I (primary) FY total returns: FY2026 9.58% / FY2025 19.95% / FY2024 17.10% / FY2023 9.27% (period 4/1/2022-3/31/2023). Average Annual Total Returns as of 3/31/2026 (Performance Overview, unaudited): Class I 1mo 1.96 / 3mo 2.28 / 6mo 3.20 / 1yr 9.58 / 3yr 15.46 / SI 13.89% (4/1/2022); Class D 1yr 9.23 / 3yr 15.14 / SI 15.13% (9/1/2022); Class A 1yr 8.63 / SI 16.40% (8/1/2023), and with the maximum 3.50% sales load 1yr 4.83 / SI 14.86%. BASIS: total return at NAV assuming reinvestment of all dividends and distributions; NAVs/returns calculated on GAAP-adjusted net assets (highlights fn (b)); FY2024 returns include Adviser-contribution impact of 0.08% (fn (c)); Class A returns exclude sales load unless marked. Extracted 2026-08-15.","N-CSR (FY2026 annual report, FYE 3/31/2026), filed 2026-06-04 (raw: data/raw/ares_pmf/N-CSR_2026-06-04_tm2616630d1_ncsr.htm)","Shareholder Letter - Performance Overview; Performance Overview - Average Annual Total Returns (as of March 31, 2026); Consolidated Financial Highlights TOTAL RETURN rows","net total returns of 9.58%, 9.23%, and 8.63% for its Class I Shares, Class D Shares, and Class A Shares",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_ares_pmf_N_CSR_2026_06_04_tm2616630d1_ncsr.txt,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.3,Gross vs net spread,"No gross-vs-net PERFORMANCE spread is printed (returns are net-only). Expense-side spread (ratios to average net assets, FY2026): gross 5.02% I / 5.21% D / 5.85% A vs net after waivers 4.99% / 5.18% / 5.82% - waiver line only (0.03)% per class. Class I gross/net history: FY2025 4.85/4.74; FY2024 5.60/5.01; FY2023 4.66/2.00 (launch-period waivers (2.66)%). Highlights fn (d): excluding Incentive Fees, Class I ratios would decrease 1.60% (FY26), 2.20% (FY25), 2.35% (FY24), 1.40% (FY23). Fn (e): ratios exclude income/expenses of underlying Portfolio Funds (AFFE outside the ratio) - so the true all-in investor cost exceeds the printed ratios.","N-CSR (FY2026 annual report), filed 2026-06-04 (raw: data/raw/ares_pmf/N-CSR_2026-06-04_tm2616630d1_ncsr.htm)",Performance Overview (expense-ratio disclosure); Consolidated Financial Highlights - RATIOS TO AVERAGE NET ASSETS + footnotes (d)(e),"before fee waivers, was 5.02% for Class I, 5.21% for Class D and 5.85% for Class A",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_ares_pmf_N_CSR_2026_06_04_tm2616630d1_ncsr.txt,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.4,Distribution history & composition,"No managed-distribution policy: 'The Fund does not have a policy or practice of maintaining a specified level of distributions to shareholders' (FY2026 report); intends to distribute at least 90% of annual net taxable income (RIC). Paid: $54,460,065 on 12/31/2025 (FY2026: Class I $24,460,463 / D $396,090 / A $29,603,512) vs $31,997,658 FY2025. Per-share, all classes: $0.53 FY26 / $0.51 FY25 / $0.87 FY24 / $0.36 FY23 - every highlights distribution row is 'From net realized gain on investments' only (from-income rows all print dashes; no return-of-capital row). Tax character (tax years ended Sept 30): 100% long-term capital gains - $14,074,693 (2024) and $31,997,658 (2025). Opt-out DRIP administered by DST. Extracted 2026-08-15.","N-CSR (FY2026 annual report), filed 2026-06-04 (raw: data/raw/ares_pmf/N-CSR_2026-06-04_tm2616630d1_ncsr.htm)",Performance Overview - Impact of the Fund's Distribution Policy; Consolidated Statements of Changes in Net Assets - DISTRIBUTIONS; Financial Highlights DISTRIBUTIONS rows; Note 9 (tax character); Note 11 (DRIP),"The Fund paid distributions out of long-term capital gains of $54,460,065 on December 31, 2025.",/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_ares_pmf_N_CSR_2026_06_04_tm2616630d1_ncsr.txt,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.5,Underlying sleeve/GP performance,"No underlying fund, sleeve, or deal-level performance (IRRs, MOICs, TVPIs) is printed in any on-disk filing. Absence search 2026-08-15 across all four documents for 'IRR'/'internal rate of return': zero performance-table hits (single hit is process prose - the Adviser 'prepares a cash flow model which projects the internal rate of return' in underwriting, 486BPOS). Note 3 affirmatively disclaims underlying-level precision: fair values of underlying investments of Portfolio Funds are estimated by the Portfolio Funds' own management.","N-CSR (FY2026 annual report), filed 2026-06-04, Note 3 (absence search across ncsr, 486bpos, sctoi, 424b3 stripped texts)",Note 3 - FAIR VALUE MEASUREMENTS (underlying-valuation disclaimer); absence search across all on-disk ares_pmf filings,has been estimated by the respective Portfolio Funds’ management and is based upon available information in the absence of readily ascertainable fair values,/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_ares_pmf_N_CSR_2026_06_04_tm2616630d1_ncsr.txt,2026-08-14,Claude Code (2026-08-14),,"n/a - not publicly available: underlying Portfolio Fund/GP-level returns are LP-only reporting; filings disclose holdings at fair value (see 3.4/SOI), not underlying fund IRRs"
1.6,Volatility & max drawdown,Public return cadence for this wrapper is ANNUAL; vol/autocorr/de-smoothing need monthly-or-finer series. Fact sheets sit behind attestation gates (not free-public). (vol/drawdown not computable at annual granularity.),disclosure-cadence assessment vs data/series_annual/ares_pmf.csv,granularity rationale,,,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: sub-annual return series not free-public for this wrapper
1.7,De-smoothed volatility,Public return cadence for this wrapper is ANNUAL; vol/autocorr/de-smoothing need monthly-or-finer series. Fact sheets sit behind attestation gates (not free-public). (de-smoothed vol not computable at annual granularity.),disclosure-cadence assessment vs data/series_annual/ares_pmf.csv,granularity rationale,,,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: sub-annual return series not free-public for this wrapper
1.8,Risk-adjusted metrics (PME etc),KS-PME 1.5712 / Direct Alpha 11.97%/yr vs Listed private equity investable proxy (PSP) over 2022-04-01 to 2026-03-31. Window-sensitivity disclosure applies; explorable in the Analysis Lab.,data/benchmarks/ares_pmf_selection.json,primary.comparison,,data/benchmarks/ares_pmf_selection.json,2026-08-14,Claude Code (2026-08-14),,computed
1.9,Stress-window performance,Stress observations (computed from printed FY returns): worst disclosed FY 2023-03-31: 9.27%. FY spanning the 2022 shock (2023-03-31): 9.27% - appraisal-lag caveat applies (see de-smoothing lab).,data/analytics/supplement.json (stress_windows.ares_pmf),stress_windows,,data/series_annual/ares_pmf.csv,2026-08-14,Claude Code (2026-08-14),,computed
1.10,Market price & premium/discount,"Not exchange-listed: shares are sold monthly and repurchased via discretionary quarterly tenders at NAV. SC TO-I Item 2(c): no established trading market for the Shares; transfers strictly limited by the Amended and Restated Declaration of Trust dated May 29, 2024. No market price exists, so premium/discount is undefined for this wrapper.","SC TO-I issuer tender offer, filed 2026-06-01 (raw: data/raw/ares_pmf/SC TO-I_2026-06-01_tm2616081d1_sctoi.htm)",Item 2(c) - Issuer Information,There is no established trading market for the Shares,/private/tmp/claude-501/-Users-oscargladysz-Projects-fiduciary-demo/59a632f0-edb6-4876-bce2-9c7d537ea82e/scratchpad/coh_ares_pmf_SC_TO_I_2026_06_01_tm2616081d1_sctoi.txt,2026-08-14,Claude Code (2026-08-14),,n/a - listed-CEF only
