cell_id,element,value,source_doc,source_section,quote,local_file,accession,date_pulled,extracted_by,verified_by,status
1.1,Net total return series,"NAV-based net total return series, fiscal years ended March 31, all five classes printed. Primary class (Class 4, zero distribution fee, inception 09/30/14 = Fund inception, used in the N-CSR performance graph): FY2026 9.10%, FY2025 10.07%, FY2024 12.08%, FY2023 6.45%, FY2022 18.36% (N-CSR highlights). N-2 ten-year Class 4 table extends: FY2021 35.72%, FY2020 4.15%, FY2019 10.11%, FY2018 14.26%, FY2017 14.27%. DISCREPANCY (recorded 2026-08-15): the N-2 dated 2026-07-31 prints Class 4 FY2025 as 9.94% vs N-CSR 10.07% (same pattern Class 1: 9.09% vs 9.22%); N-CSR value carried as primary. Cumulative return is based on monthly NAV change with distributions reinvested; only fiscal-year (not monthly) return rows are printed.","N-CSR FY2026 (FYE 2026-03-31, filed 2026-06-09), Financial Highlights; N-2 filed 2026-07-30 (Prospectus dated 2026-07-31), Class 4 Financial Highlights","Financial Highlights (Class 1-5, FY2022-FY2026); N-2 FINANCIAL HIGHLIGHTS (ten fiscal years); Portfolio Manager's Comments cumulative-return note","The Fund's cumulative total return is based on the monthly change in net asset value (NAV), and assumes that all dividends and distributions were reinvested.",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.2,Trailing & calendar-year returns,"Average annual total returns as of 3/31/2026 (1yr / 5yr / 10yr / since inception, inception date): Class 4: 9.10% / 11.12% / 13.16% / 11.63% (09/30/14); Class 3: 8.88 / 10.84 / 12.87 / 12.50 (10/27/15); Class 2: 8.60 / 10.56 / 12.60 / 12.21 (10/27/15); Class 1: 8.35 / 10.29 / 12.20 / 11.81 (10/27/15); Class 5 (includes max 3.50% sales load): 4.29 / 9.23 / - / 12.72 (07/31/20). MSCI World Index same periods: 18.90 / 10.27 / 11.80 / 10.16 (from Fund inception 09/30/14). Net of fees, NAV-based, reinvestment assumed, periods >1yr annualized. Year-by-year returns are fiscal-year (March 31), not calendar-year; no calendar-year table is printed.","N-CSR FY2026 (FYE 2026-03-31, filed 2026-06-09)","Portfolio Manager's Comments - Average Annual Total Returns table (periods ended March 31, 2026)","The table below shows the average annual total returns for AMG Pantheon Fund, LLC and MSCI World Index for the same time periods ended March 31, 2026.",data/raw/amg_pantheon/N-CSR_2026-06-09_d138225dncsr.htm,0001193125-26-264017,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.3,Gross vs net spread,"PARTIAL: no gross-of-fees RETURN series is printed in any on-disk document - only net total returns. What IS printed is the gross-vs-net EXPENSE-ratio spread, a constant 0.70% for every class every year FY2024-FY2026 (FY2026: Class 1 1.56%/0.86%, Class 2 1.31%/0.61%, Class 3 1.06%/0.36%, Class 4 0.81%/0.11%, Class 5 1.81%/1.11%) = the feeder-level 0.70% management fee waived in full ($41,858,957 FY2026, non-recoupable, waived while the Fund's only investment security is another registered investment company). FY2023/FY2022 ratios include recoupments of 0.07%/0.13%. Feeder ratios exclude the Fund's indirect share of Master Fund expenses (1.19% of average investment balance FY2026).","N-CSR FY2026 (FYE 2026-03-31, filed 2026-06-09)",Financial Highlights ratio rows + footnotes; Note 2 Agreements and Transactions with Affiliates (fee waiver); Note 1c (Master expense share),"the Investment Manager waived all investment management fees payable by the Fund in the amount of $41,858,957",data/raw/amg_pantheon/N-CSR_2026-06-09_d138225dncsr.htm,0001193125-26-264017,2026-08-14,Claude Code (2026-08-14),,partial
1.4,Distribution history & composition,"Distributions declared/paid at least annually; identical per-unit across classes: FY2026 $0.63, FY2025 $0.25, FY2024 $0.17, FY2023 $0.41, FY2022 $0.72 - all from net realized gain on investments. Class 4 ten-year table adds FY2021 $0.17, FY2020 $0.97, FY2019 $0.36 ($0.31 of it from net investment income - the only NII distribution printed), FY2018 $0.01, FY2017 $0. Tax character (tax years ended Sep 30): 2025 $42,413,014 LTCG / $0 ordinary; 2024 $18,997,428 LTCG / $0 ordinary. On 2025-12-31 the Fund paid $145,007,913 of long-term capital gains. Reinvestment at NAV on ex-dividend date is the default unless the Investor elects cash.","N-CSR FY2026 (FYE 2026-03-31, filed 2026-06-09); N-2 filed 2026-07-30 (Class 4 highlights, DRIP default)",Note 1d Dividends and Distributions + tax-character tables; Financial Highlights distribution rows,"On December 31, 2025, the Fund paid $145,007,913 of long-term capital gains which primarily consisted of capital gains received from the Master Fund on December 31, 2025.",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.5,Underlying sleeve/GP performance,"Zero hits for 'IRR' / 'internal rate of return' across all four on-disk documents (N-CSR, N-2, SC TO-I, 424B3; checked 2026-08-15). The consolidated SOI lists underlying Investment Funds and co-investments with fair values only - no performance metrics. Risk disclosure affirmatively states the Investment Manager relies on information from Private Fund Investments that cannot be independently verified.",N-CSR FY2026 (filed 2026-06-09); N-2 filed 2026-07-30 (risk factors),Consolidated Schedule of Investments (fair values only); Types of Investments and Related Risk Factors,"the Investment Manager relies upon information provided to it by the Private Fund Investment that is not, and cannot be, independently verified",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: underlying fund/GP-level performance (IRR/MOIC/TVPI) is not printed in any on-disk filing
1.6,Volatility & max drawdown,Public return cadence for this wrapper is ANNUAL; vol/autocorr/de-smoothing need monthly-or-finer series. Fact sheets sit behind attestation gates (not free-public). (vol/drawdown not computable at annual granularity.) Quarterly NAV path on disk is NAV-only and short.,disclosure-cadence assessment vs data/series_annual/amg_pantheon.csv,granularity rationale,,,,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: sub-annual return series not free-public for this wrapper
1.7,De-smoothed volatility,Public return cadence for this wrapper is ANNUAL; vol/autocorr/de-smoothing need monthly-or-finer series. Fact sheets sit behind attestation gates (not free-public). (de-smoothed vol not computable at annual granularity.) Quarterly NAV path on disk is NAV-only and short.,disclosure-cadence assessment vs data/series_annual/amg_pantheon.csv,granularity rationale,,,,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: sub-annual return series not free-public for this wrapper
1.8,Risk-adjusted metrics (PME etc),"Primary Peer composite, evergreen private equity cohort without AMG Pantheon Fund, LLC (members: Ares Private Markets Fund, Hamilton Lane Private Assets Fund, KKR Private Equity Conglomerate LLC, StepStone Private Markets): relative wealth ratio 0.8357 over FY2022 to FY2026 (5 overlapping fiscal year(s) of 5 composite years), fund growth 1.6958x / peer composite growth 2.0292x on two-point flows, annualized excess return -3.53%/yr, fund return source: filed fiscal-year returns. Not a public market equivalent: the peer composite is appraisal-based, constructed by the evaluator and cannot be bought. Alignment: aligned by fiscal year-end year. Members' fiscal years end in month 03 (ares_pmf, hl_paf, stepstone_spm), 12 (kkr_kpec), the fund's in month 03. Secondary Listed private equity investable proxy (PSP): KS-PME 1.5919 and Direct Alpha +6.87%/yr over 2019-03-31 to 2026-03-31 (series comparison, clipped: proxy series begins 2018-07-18, 3 fiscal year(s) outside it dropped), fund growth 2.397x vs proxy growth 1.5057x on two-point flows (one contribution at the window start, one valuation at the end), fund return source: filed fiscal-year returns. The fund led the public proxy over this window. Window-sensitive: every figure on appraisal-lagged NAVs moves with the window (methodology section 3).","benchmark selection artifact (AMG Pantheon Fund, LLC)",primary and secondary comparisons,,,,2026-09-04,Tark computed-cells writer (as-of 2026-09-04),,computed
1.9,Stress-window performance,"Stress observation from the printed fiscal-year returns on record. The fiscal year spanning the 2022 public-market drawdown (FY ending 2023-03-31) printed a total return of 6.45%. Worst disclosed fiscal year: FY ending 2020-03-31 at 4.15%. Annual disclosure cadence - fiscal-year figures are the finest public stress observations for this wrapper. CAVEAT: annual appraisal-based figures cannot show intra-year drawdowns, so this is a floor on the stress the wrapper absorbed, not a measure of it.",analytics supplement artifact (stress windows),stress windows for this product,,,,2026-09-04,Tark computed-cells writer (as-of 2026-09-04),,computed
1.10,Market price & premium/discount,Structural: unlisted tender-offer fund. Units sold monthly in a continuous offering at NAV; transfer strictly limited by the LLC Agreement; no secondary market exists (N-2: 'Units are not traded on any securities exchange or other market. No secondary market currently exists for Units.').,"SC TO-I (filed 2026-08-03), Item 2(c); N-2 filed 2026-07-30 (Limitations on Transfer risk factor)",Item 2. Subject Company Information (c),"Units are not traded in any market, and any transfer thereof is strictly limited by the terms of the Fund's Limited Liability Company Agreement",,"multiple (2), data/citations/amg_pantheon.json",2026-08-14,Claude Code (2026-08-14),,"n/a - not exchange-listed: units are not traded in any market, so no market price or premium/discount exists"
