cell_id,element,value,source_doc,source_section,quote,local_file,date_pulled,extracted_by,verified_by,status
1.1,Net total return series,"PARTIAL: only fiscal-year points printed in filings. Single-class NAV total returns (FYE July 31): FY2023 (9/1/2022 commencement to 7/31/2023, not annualized) +26.20% (NAV $20.00 to $25.24); FY2024 +3.86% ($26.02); FY2025 +29.62% ($33.62). Net assets grew $24,919k / $64,041k / $207,930k. Daily-NAV fund (ticker ARKVX) but no monthly/daily series is printed in filings; quarterly pre-offer spot NAVs available from N-23C3A notices (see quarterly_nav: $25.72 on 2024-09-04 to $49.85 on 2026-05-27).","N-CSR FY2025 (filed 2025-10-08, FYE 2025-07-31), CIK 1905088",Consolidated Financial Highlights,Net asset value total return is calculated assuming an initial investment made at the net asset value at the beginning of the period,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,partial
1.2,Trailing & calendar-year returns,"Average Annual Total Returns as of 7/31/2025 (single class then offered; NAV total-return basis, dividends reinvested, net of fees, reflects waivers): 1-year +29.62%; since inception 9/1/2022 +20.42% annualized. Printed comparison rows in same table: S&P 500 Index 16.33% / 19.29%; MSCI World Net Index 15.72% / 18.02%. Calendar-year returns are NOT printed in on-disk filings - only fiscal-July-year returns in the Financial Highlights (see 1.1 / annual_series).","N-CSR FY2025 (filed 2025-10-08, FYE 2025-07-31), CIK 1905088",Management's Discussion of Fund Performance - Average Annual Total Returns as of 7/31/25,Average Annual Total Returns as of 7/31/25 ... The Fund’s inception date is 9/1/22.,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.3,Gross vs net spread,"No performance-fee layer, so gross-vs-net spread is entirely expense waivers/reimbursements. FY2025 ratios: 4.39% gross vs 2.90% net (1.49pp waived/reimbursed); FY2024 5.32% vs 2.90% (2.42pp); FY2023 annualized 9.33% vs 2.90% (6.43pp). Contractual cap 2.90% of average daily net assets (with listed exclusions); amended 7/3/2025 to remain in effect indefinitely until the Board approves termination; Adviser may NOT recoup waived/reimbursed amounts. Reimbursement receivable from Adviser at 7/31/2025: $442,717.","N-CSR FY2025 (filed 2025-10-08, FYE 2025-07-31), CIK 1905088",Consolidated Financial Highlights; MDFP performance disclosure; Note 3 Expense Limitation Agreement,"Performance reflects applicable fee waivers and/or expense limitations in effect during the periods shown and in their absence, performance would be reduced.",/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.4,Distribution history & composition,"Sparse, gains-only distribution history: per-share FY2023 $0.00, FY2024 $0.20, FY2025 $0.10 (Financial Highlights line 'Accumulated Net realized gains'; none from net investment income - the Fund runs a net investment loss). Tax character: FY2024 ordinary income $289,005 / LTCG $0; FY2025 ordinary $0 / LTCG $345,035. Policy: NII and net capital gains typically distributed at least annually (prospectus: annual distribution policy). DRP administered by BNY Mellon Investment Servicing (US) Inc.: shareholders automatically enrolled, reinvestment in same class at NAV, opt-out by written instruction.","N-CSR FY2025 (filed 2025-10-08) + 486BPOS prospectus dated 2025-10-28 (filed 2025-10-27), CIK 1905088",Financial Highlights; Note 2 Dividend Distributions; Note 6 Federal Income Tax; prospectus Summary of Terms - Distributions / Dividend Reinvestment Plan,"Net investment income, if any, and net capital gains, if any, are typically distributed to shareholders at least annually.",/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
1.5,Underlying sleeve/GP performance,"The Fund invests directly - partly via unaffiliated SPVs - in ~46 named private companies (annual-report descriptions include Anthropic, OpenAI, SpaceX, xAI, Neuralink, Lambda Labs, Replit, Epic Games, Databricks, Figure AI, Groq, Revolut, Boom Supersonic, Perplexity) plus public tech equities. No underlying-fund/GP performance exists to print. Position-level anchor at 7/31/2025: top-10 = 48.3% of net assets, led by SpaceX 11.5%, X.AI Holdings 6.8%, Neuralink 5.8%, Lambda Labs 5.3%, OpenAI 5.2%.","N-CSR FY2025 (filed 2025-10-08, FYE 2025-07-31), CIK 1905088",The ARK Venture Fund's Private Investments; Top 10 Holdings; Consolidated Schedule of Investments footnote (c),these securities have been purchased through unaffiliated Special Purpose Vehicles (“SPVs”) in which the Fund has a direct investment of ownership units of the SPVs.,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,n/a - not publicly available: direct venture portfolio (no underlying funds or GP sleeves); no sleeve-level return series exists or is printed in any on-disk filing
1.6,Volatility & max drawdown,"Computed from daily NAV (adj, n=48 monthly): annualized vol 24.45%; max drawdown -18.15% (since 2022-08-31).",data/analytics/supplement.json (stress_windows.arkvx) + data/series/arkvx.csv,computed diagnostics,,data/series/arkvx.csv,2026-08-14,Claude Code (2026-08-14),,computed
1.7,De-smoothed volatility,"De-smoothed (Geltner AR1) annualized vol 23.99% vs 24.45% observed (rho -0.026, n=48). Daily-struck NAV on Level-3-heavy venture holdings - the rho quantifies how much stale marks smooth it.",data/series/arkvx.csv (computed),computed diagnostics,,data/series/arkvx.csv,2026-08-14,Claude Code (2026-08-14),,computed
1.8,Risk-adjusted metrics (PME etc),KS-PME 1.9927 / Direct Alpha 19.07%/yr vs Listed private equity proxy (PSP) over 2022-08-31 to 2026-08-13. Window-sensitivity disclosure applies; explorable in the Analysis Lab.,data/benchmarks/arkvx_selection.json,primary.comparison,,data/benchmarks/arkvx_selection.json,2026-08-14,Claude Code (2026-08-14),,computed
1.9,Stress-window performance,Computed stress windows (daily NAV): worst full-history peak-to-trough -19.1% (series starts 2022-08-31; no CY2022/COVID coverage).,data/analytics/supplement.json (stress_windows.arkvx),stress_windows,,data/series/arkvx.csv,2026-08-14,Claude Code (2026-08-14),,computed
1.10,Market price & premium/discount,"Shares are unlisted with no secondary market expected; entry at NAV (plus any Class S load) and exit only via quarterly NAV repurchase offers - premium/discount is undefined by construction. Cohort contrast role: ARKVX delivers SpaceX/OpenAI/xAI/Anthropic-type venture exposure priced at NAV daily, versus the listed closed-end shell route (DXYZ) where market price can detach from NAV.","486BPOS prospectus dated 2025-10-28 (filed 2025-10-27), CIK 1905088",Summary of Terms - Share Repurchase Program; prospectus cover (Unlisted Closed-End Fund),"The Shares have no history of public trading, nor is it intended that the Shares will be listed on a public exchange at this time.",/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/486BPOS_2025-10-27_ea0260971-01_486bpos.htm,2026-08-14,Claude Code (2026-08-14),,"n/a - not publicly available: no market price exists for this unlisted interval fund; shares are bought and repurchased at NAV, so premium/discount is undefined"
1.11,Track record & manager tenure,"Track record from 9/1/2022 commencement (organized as Delaware statutory trust 1/11/2022): 3 fiscal years through FYE 7/31/2025, ~3.9 years at extraction (2026-08-15). Sole named portfolio manager: Catherine D. Wood, Chief Investment Officer of the Fund; founded ARK Investment Management LLC and registered it with the SEC in January 2014; previously CIO of Global Thematic Strategies at AllianceBernstein LP ($5B AUM) after 12 years there; 18 years at Jennison Associates before that.","N-CSR FY2025 (filed 2025-10-08) + 486BPOS prospectus dated 2025-10-28 (filed 2025-10-27), CIK 1905088",Note 1 Organization; prospectus Management of the Fund - Portfolio Manager,"The Fund was organized as a Delaware statutory trust on January 11, 2022 and commenced operations on September 1, 2022.",/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.1,Management fee (rate AND base),"RATE: 2.75% per annum. BASE: average DAILY NET ASSETS of the Fund; fee accrued daily, paid monthly; same 2.75% across Class D/S/U in the Oct-2025 fee table. FY2025 management fees incurred: $3,193,989. No breakpoints disclosed. (Highest flat management fee in this cohort's interval-fund lane; partially offset by the non-recoupable 2.90% expense cap.)","N-CSR FY2025 (filed 2025-10-08), Note 3, CIK 1905088",Note 3 Management and Other Agreements - Management; prospectus Summary of Fees and Expenses,The Fund pays the Adviser a fee calculated daily and payable monthly at an annual rate ... of the average daily net assets of the Fund) of 2.75% (“Management Fee”),/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.2,Incentive fee terms,"None - documented absence. Adviser compensation is the flat 2.75% Management Fee only, 'in return for providing investment management services'. Full-text searches of the FY2025 N-CSR, 486BPOS (2025-10-27) and 424B3 (2026-01-23) return zero hits for 'incentive fee', 'performance fee' and 'carried interest' (the sole 'incentive' hit is proxy-voting language about portfolio-company compensation programs). The Statement of Operations expense lines contain no incentive/performance item.","N-CSR FY2025 (filed 2025-10-08), Note 3 + full-text search of all on-disk arkvx filings (searched 2026-08-15), CIK 1905088",Note 3 Management and Other Agreements; Consolidated Statement of Operations,of 2.75% (“Management Fee”) in return for providing investment management services,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/N-CSR_2025-10-08_ea0254858-01_ncsr.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.3,Total expense ratio & waivers,"Audited FY2025 (single class): 4.39% gross / 2.90% net of average net assets (FY2024 5.32/2.90; FY2023 annualized 9.33/2.90). Prospectus (10/28/2025) projections per class: total annual fund expenses D 3.49% / S 4.19% / U 4.09% (incl. mgmt 2.75%, interest 0.04%, distribution/servicing 0.15/0.85/0.75, other operating 0.54%, AFFE 0.01%); after fee waiver (0.01%) + expense reimbursement (0.58%): D 2.90% / S 3.60% / U 3.50%. Expense Limitation Agreement caps operating expenses (excl. investment costs, taxes, brokerage, AFFE, litigation/indemnification/shareholder meetings, organizational/offering, extraordinary) at 2.90/3.60/3.50% by class; indefinite until Board terminates; NO Adviser recoupment.","N-CSR FY2025 (filed 2025-10-08) + 486BPOS prospectus dated 2025-10-28 (filed 2025-10-27), CIK 1905088",Consolidated Financial Highlights ratios; Summary of Fees and Expenses; Note 3 Expense Limitation Agreement,exceed 2.90% of the Fund’s average daily net assets (“Expense Limit”),/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/486BPOS_2025-10-27_ea0260971-01_486bpos.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
2.4,AFFE,"AFFE 0.01% for each class (Class D/S/U), prospectus fee table projected for fiscal year ending 7/31/2026 - pro rata share of fees of other funds held (ETFs and money market funds; the only pooled holding at 7/31/2025 was a $9.4M money market fund position). Excluded from the expense-cap calculation and from Financial Highlights expense ratios.","486BPOS prospectus dated 2025-10-28 (filed 2025-10-27), CIK 1905088","Summary of Fees and Expenses - Annual Fund Expenses, footnote (6)",Acquired Fund Fees and Expenses represent the Fund’s pro rata share of fees and expenses incurred indirectly as a result of investing in other funds,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/arkvx/486BPOS_2025-10-27_ea0260971-01_486bpos.htm,2026-08-14,Claude Code (2026-08-14),,extracted-unverified
