date,nav_per_share
2023-01-31,14.742
2023-02-28,14.7927
2023-03-31,14.5864
2023-04-30,14.5576
2023-05-31,14.6001
2023-06-30,14.6852
2023-07-31,14.8126
2023-08-31,14.8938
2023-09-30,14.8127
2023-10-31,14.6104
2023-11-30,14.328
2023-12-31,14.0977
2024-01-31,14.1214
2024-02-29,14.1547
2024-03-31,14.187
2024-04-30,14.1871
2024-05-31,14.146
2024-06-30,14.0986
2024-07-31,14.0163
2024-08-31,13.9764
2024-09-30,13.9395
2024-10-31,13.9736
2024-11-30,13.9196
2024-12-31,13.7133
2025-01-31,13.7642
2025-02-28,13.7897
2025-03-31,13.8052
2025-04-30,13.777
2025-05-31,13.7967
2025-06-30,13.8022
2025-07-31,13.8168
2025-08-31,13.8281
2025-09-30,13.8639
2025-10-31,13.9218
2025-11-30,14.0148
2025-12-31,14.1339
2026-06-30,14.5256
