cell_id,element,value,source_doc,source_section,quote,local_file,date_pulled,extracted_by,verified_by,status
1.1,Net total return series,"Class I NAV per share, end of FY (from Consolidated Financial Highlights, FYE Mar 31): FY2022 $43.07, FY2023 $45.61, FY2024 $51.73, FY2025 $56.54, FY2026 $61.74. FY total returns in 1.2; structured series in data/series_annual/stepstone_spm.csv (adversarially verified). Monthly series: fact sheets sit behind an investor-attestation gate (not free-public).","N-CSR 2026-06-09 (FY2026 annual report), Consolidated Financial Highlights","Consolidated Financial Highlights - Class I (NAV per share, end of period row)","Net Asset Value per share, end of period",data/raw/stepstone_spm/N-CSR_2026-06-09_ea0293635-01_ncsr.htm,2026-08-09,Claude Code (2026-08-09),,extracted-unverified
1.2,Trailing & calendar-year returns,Class I FY2026 total return 10.47%. AATR as of 3/31/2026: Class I 1yr 10.47% / 5yr 12.92% / SI 19.19%; Class D 10.19 / 12.72 / 18.96. Class I/D/S inception 10/1/2020; Class R 1/2/2026.,N-CSR 2026-06-09 (FY ended 3/31/2026),Shareholder letter + Fund Performance,SPRIM (Class I) generated a total return of 10.47% for the fiscal year,data/raw/stepstone_spm/N-CSR_2026-06-09_ea0293635-01_ncsr.htm,2026-07-18,Claude (Inc-1),,extracted-unverified
1.3,Gross vs net spread,"Financial highlights print paired ratio rows 'Expenses before adviser expense recoupment (reimbursement)' vs 'Expenses after adviser expense recoupment (reimbursement)'. FY2026: IDENTICAL for all classes - Class I 1.91%/1.91%, Class D 2.17%/2.17%, Class S 2.77%/2.77% (also identical in FY2025 and FY2024: I 1.88/1.88 and 2.09/2.09; D 2.13/2.13 and 2.37/2.37; S 2.73/2.73 and 2.79/2.79) - no net waiver/recoupment effect in the last three fiscal years. In FY2023/FY2022 the AFTER ratio was HIGHER than before because the Adviser RECOUPED previously reimbursed amounts: Class I 2.32% before / 2.45% after (FY2023) and 3.38% / 3.56% (FY2022); Class D 2.49/2.62 and 3.44/3.52; Class S 3.40/3.41 and 3.45/3.43 (S FY2022 after is slightly LOWER - net reimbursement that year). Footnote: 'Total return would have been higher or lower had certain expenses not been recouped or waived by the Adviser during the periods of recoupment or reimbursement, respectively.' Ratios exclude deferred tax provisions and do not reflect underlying Investment Fund income/expenses (no AFFE). Prospectus fee table (486BPOS) prints no separate waiver line: Total Annual Fund Operating Expenses incl. AFFE Class I 2.34% with no 'net' row (see 2.4).",N-CSR 2026-06-09 (FY ended 3/31/2026),Consolidated Financial Highlights - Ratios to average net assets (Class I / Class D / Class S),Expenses before adviser expense recoupment (reimbursement) 5 | | | 1.91 | %,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/stepstone_spm/N-CSR_2026-06-09_ea0293635-01_ncsr.htm,2026-08-09,Claude Code (2026-08-09),,extracted-unverified
1.4,Distribution history & composition,"FY2026 (year ended 3/31/2026) Class I per-share distributions: total $0.70 = $0.01 from net investment income + $0.69 from net realized gains (FY2025 $0.72 = 0.18 + 0.54; FY2024 $0.16; FY2023 $0.96; FY2022 $0.48). No return-of-capital distribution row is printed in the financial highlights. Statement of Changes, Distributions from Distributable Earnings FY2026: Class I $(46,602,157), Class D $(1,023,421), Class S $(14,268,403), total $(61,893,981); FY2025 total $(42,518,587) incl. Class T $(226,929). Tax character of Subchapter M distributions declared: FYE 3/31/2026 ordinary income $4,514,958 + long-term capital gains $57,379,023; FYE 3/31/2025 $8,643,271 + $33,875,316; tax year ended 9/30/2025 $13,354,952 ordinary + $31,152,714 LTCG. Reinvestment of distributions FY2026: Class I $26,992,849.",N-CSR 2026-06-09 (FY ended 3/31/2026),Consolidated Financial Highlights (Class I); Consolidated Statements of Changes in Net Assets; Note 13 - Tax Information,"The tax character of Subchapter M distributions declared for the fiscal years ended March 31, 2026 and March 31, 2025",data/raw/stepstone_spm/N-CSR_2026-06-09_ea0293635-01_ncsr.htm,2026-08-09,Claude Code (2026-08-09),,extracted-unverified
1.5,Underlying sleeve/GP performance,"No underlying fund/deal-level performance is printed anywhere in the on-disk filings. The N-CSR discloses holdings only at fair value (Schedule of Investments; fair-value hierarchy in Note 3 - see cells 3.4 and 4.2) with zero occurrences of 'internal rate of return'. The only IRR mentions in the 486BPOS and 424B3 are valuation-diligence process language ('validate both projected multiple and internal rate of return assumptions'), not printed performance of underlying Investment Funds or co-investments. Underlying GP fund performance is LP-only reporting delivered under the private-placement documents of each Investment Fund.","Searched: N-CSR 2026-06-09, 486BPOS 2025-10-20, 424B3 2025-12-31 (stripped texts)",N-CSR Consolidated Schedule of Investments / Note 3; 486BPOS valuation-diligence discussion,,/Users/oscargladysz/Projects/fiduciary-demo/data/raw/stepstone_spm/N-CSR_2026-06-09_ea0293635-01_ncsr.htm,2026-08-09,Claude Code (2026-08-09),,"n/a - not publicly available: underlying fund/GP-level returns are LP-only reporting; filings disclose holdings at fair value (see 3.4/SOI and 4.2), not underlying fund IRRs"
1.6,Volatility & max drawdown,"Public return cadence for this non-traded wrapper is ANNUAL (N-CSR/10-K fiscal-year figures; see data/series_annual). Volatility, drawdown, autocorrelation and de-smoothing require a monthly-or-finer series; estimating them from <=5 annual points is not statistically meaningful. Monthly fact-sheet data sits behind investor-attestation gates (not free-public).",disclosure-cadence assessment vs data/series_annual/,granularity rationale,,,2026-08-09,Claude Code (2026-08-09),,n/a - not publicly available: sub-annual return series not free-public for this wrapper (annual filing cadence; fact sheets attestation-gated)
1.7,De-smoothed volatility,"Public return cadence for this non-traded wrapper is ANNUAL (N-CSR/10-K fiscal-year figures; see data/series_annual). Volatility, drawdown, autocorrelation and de-smoothing require a monthly-or-finer series; estimating them from <=5 annual points is not statistically meaningful. Monthly fact-sheet data sits behind investor-attestation gates (not free-public).",disclosure-cadence assessment vs data/series_annual/,granularity rationale,,,2026-08-09,Claude Code (2026-08-09),,n/a - not publicly available: sub-annual return series not free-public for this wrapper (annual filing cadence; fact sheets attestation-gated)
1.8,Risk-adjusted metrics (PME etc),"KS-PME 1.762, Direct Alpha +12.0%/yr vs PSP (same fiscal window, same window-sensitivity disclosure); vs URTH: PME 1.1155, +2.21%/yr.",data/benchmarks/stepstone_spm_selection.json,primary/secondary comparison,,,2026-07-18,Claude (M2/M3 pipeline),,computed
1.9,Stress-window performance,"Stress observation (computed from extracted FY returns): FY ending 2023-03-31 (spans the 2022 drawdown): printed total return 8.23% (Class I) - also the worst disclosed FY. Same appraisal-lag caveat as hl_paf 1.9: positive through a public-market crash = smoothing signature, disclosed per methodology.",data/analytics/supplement.json (stress_windows.stepstone_spm),stress_windows,,data/series_annual/stepstone_spm.csv,2026-08-09,Claude Code (2026-08-09),,computed
1.10,Market price & premium/discount,,,,,,,,,n/a - listed-CEF only
